"Id";"DayType"
"Status20241225";"occupied"
"Status20241226";"occupied"
"Status20241227";"occupied"
"Status20241228";"occupied"
"Status20241229";"occupied"
"Status20241230";"occupied"
"Status20241231";"occupied"
"Status2025101";"occupied"
"Status2025102";"occupied"
"Status2025103";"occupied"
"Status2025104";"departure"
"Status2024321";"notToOccupy"
"Status2024322";"notToOccupy"
"Status2024323";"notToOccupy"
"Status2024324";"notToOccupy"
"Status2024518";"arrival"
"Status2024519";"occupied"
"Status2024520";"occupied"
"Status2024521";"occupied"
"Status2024522";"occupied"
"Status2024523";"occupied"
"Status2024524";"occupied"
"Status2024525";"occupied"
"Status2024526";"occupied"
"Status2024527";"occupied"
"Status2024528";"occupied"
"Status2024529";"occupied"
"Status2024530";"occupied"
"Status2024531";"occupied"
"Status20241012";"arrivalDeparture"
"Status20241013";"occupied"
"Status20241014";"occupied"
"Status20241015";"occupied"
"Status20241016";"occupied"
"Status20241017";"occupied"
"Status20241018";"occupied"
"Status20241019";"occupied"
"Status20241020";"occupied"
"Status20241021";"occupied"
"Status20241022";"occupied"
"Status20241023";"occupied"
"Status20241024";"occupied"
"Status20241025";"occupied"
"Status20241026";"departure"
"Status2025125";"arrival"
"Status2025126";"occupied"
"Status2025127";"occupied"
"Status2025128";"occupied"
"Status2025129";"occupied"
"Status2025130";"occupied"
"Status2025131";"occupied"
"Status2025223";"occupied"
"Status2025224";"occupied"
"Status2025225";"occupied"
"Status2025226";"occupied"
"Status2025227";"occupied"
"Status2025228";"occupied"
"Status2025301";"arrivalDeparture"
"Status2025302";"occupied"
"Status2025303";"occupied"
"Status2025304";"occupied"
"Status2025305";"occupied"
"Status2025306";"occupied"
"Status2025307";"occupied"
"Status2025201";"arrivalDeparture"
"Status2025202";"occupied"
"Status2025203";"occupied"
"Status2025204";"occupied"
"Status2025205";"occupied"
"Status2025206";"occupied"
"Status2025207";"occupied"
"Status2025208";"occupied"
"Status2025209";"occupied"
"Status2025210";"occupied"
"Status2025211";"occupied"
"Status2025212";"occupied"
"Status2025213";"occupied"
"Status2025214";"occupied"
"Status2025215";"departure"
"Status2024603";"notToOccupy"
"Status2024604";"notToOccupy"
"Status2024605";"notToOccupy"
"Status2024606";"notToOccupy"
"Status2024607";"notToOccupy"
"Status2024608";"notToOccupy"
"Status2024609";"notToOccupy"
"Status2024610";"notToOccupy"
"Status2024611";"notToOccupy"
"Status2024612";"notToOccupy"
"Status2024613";"notToOccupy"
"Status2024614";"notToOccupy"
"Status2024615";"notToOccupy"
"Status2024616";"notToOccupy"
"Status2024617";"notToOccupy"
"Status2024618";"notToOccupy"
"Status2024619";"notToOccupy"
"Status2024620";"notToOccupy"
"Status2024621";"notToOccupy"
"Status2024622";"notToOccupy"
"Status2024623";"notToOccupy"
"Status2024624";"notToOccupy"
"Status2024625";"notToOccupy"
"Status2024626";"notToOccupy"
"Status2024628";"notToOccupy"
"Status2024627";"notToOccupy"
"Status2024629";"notToOccupy"
"Status2024630";"notToOccupy"
"Status2024601";"occupied"
"Status2024602";"departure"
"Status2024727";"arrival"
"Status2024728";"occupied"
"Status2024729";"occupied"
"Status2024730";"occupied"
"Status2024731";"occupied"
"Status2024801";"occupied"
"Status2024802";"occupied"
"Status2024803";"departure"
"Status2024928";"arrival"
"Status2024804";"notToOccupy"
"Status2024805";"notToOccupy"
"Status2024806";"notToOccupy"
"Status2024807";"notToOccupy"
"Status2024808";"notToOccupy"
"Status2024809";"notToOccupy"
"Status2024713";"arrival"
"Status2024714";"occupied"
"Status2024715";"occupied"
"Status2024716";"occupied"
"Status2024717";"occupied"
"Status2024718";"occupied"
"Status2024719";"occupied"
"Status2024720";"departure"
"Status2024810";"arrivalDeparture"
"Status2024811";"occupied"
"Status2024812";"occupied"
"Status2024813";"occupied"
"Status2024814";"occupied"
"Status2024815";"occupied"
"Status2024816";"occupied"
"Status2024817";"occupied"
"Status2024818";"departure"
"Status2025405";"notToOccupy"
"Status2025406";"notToOccupy"
"Status2025407";"notToOccupy"
"Status2025408";"notToOccupy"
"Status2025409";"notToOccupy"
"Status2025410";"notToOccupy"
"Status2025411";"notToOccupy"
"Status20241207";"occupied"
"Status20241208";"occupied"
"Status20241209";"occupied"
"Status20241210";"occupied"
"Status20241211";"occupied"
"Status20241212";"occupied"
"Status20241213";"occupied"
"Status20241214";"occupied"
"Status2025111";"occupied"
"Status2025117";"occupied"
"Status2025118";"occupied"
"Status2025116";"arrival"
"Status2025119";"departure"
"Status2025110";"arrival"
"Status2025112";"departure"
"Status2025222";"occupied"
"Status2025221";"occupied"
"Status2025308";"arrivalDeparture"
"Status2025309";"occupied"
"Status2025310";"occupied"
"Status2025311";"occupied"
"Status2025312";"occupied"
"Status2025313";"occupied"
"Status2025314";"occupied"
"Status2025315";"arrivalDeparture"
"Status2025316";"notToOccupy"
"Status2025317";"notToOccupy"
"Status2025318";"notToOccupy"
"Status20251220";"arrival"
"Status20251221";"occupied"
"Status20251222";"occupied"
"Status20251223";"occupied"
"Status20251224";"occupied"
"Status20251225";"occupied"
"Status20251226";"occupied"
"Status20251227";"occupied"
"Status20251228";"occupied"
"Status20251229";"occupied"
"Status20251230";"occupied"
"Status20251231";"occupied"
"Status2026101";"occupied"
"Status2026102";"occupied"
"Status2026103";"departure"
"Status2025815";"occupied"
"Status2025814";"occupied"
"Status2025813";"occupied"
"Status2025812";"occupied"
"Status2025811";"occupied"
"Status2025810";"occupied"
"Status2025809";"occupied"
"Status2025808";"occupied"
"Status2025807";"occupied"
"Status2025806";"occupied"
"Status2025805";"occupied"
"Status2025804";"occupied"
"Status2026130";"occupied"
"Status2026129";"occupied"
"Status2026128";"occupied"
"Status2026127";"occupied"
"Status2026126";"occupied"
"Status2026125";"occupied"
"Status2026131";"arrivalDeparture"
"Status2026124";"arrival"
"Status2026201";"occupied"
"Status2026202";"occupied"
"Status2026203";"occupied"
"Status2026204";"occupied"
"Status2026205";"occupied"
"Status2026206";"occupied"
"Status2026207";"occupied"
"Status2026208";"occupied"
"Status2026209";"occupied"
"Status2026210";"occupied"
"Status2026211";"occupied"
"Status2026212";"occupied"
"Status2026213";"occupied"
"Status2025803";"arrival"
"Status2025816";"departure"
"Status2025830";"arrival"
"Status2025831";"occupied"
"Status2025926";"occupied"
"Status2025925";"occupied"
"Status2025923";"occupied"
"Status2025924";"occupied"
"Status2025922";"occupied"
"Status2025921";"occupied"
"Status2025920";"occupied"
"Status2025919";"occupied"
"Status2025918";"occupied"
"Status2025917";"occupied"
"Status2025916";"occupied"
"Status2025914";"occupied"
"Status2025915";"occupied"
"Status2025901";"occupied"
"Status2025902";"occupied"
"Status2025903";"occupied"
"Status2025904";"occupied"
"Status2025905";"occupied"
"Status2025907";"occupied"
"Status2025908";"occupied"
"Status2025906";"occupied"
"Status2025909";"occupied"
"Status2025910";"occupied"
"Status2025911";"occupied"
"Status2025913";"occupied"
"Status2025912";"occupied"
"Status2025927";"departure"
"Status2026214";"arrivalDeparture"
"Status2026215";"occupied"
"Status2026216";"occupied"
"Status2026217";"occupied"
"Status2026218";"occupied"
"Status2026219";"occupied"
"Status2026220";"occupied"
"Status2025322";"arrival"
"Status2025323";"occupied"
"Status2025324";"occupied"
"Status2025325";"occupied"
"Status2025326";"occupied"
"Status2025327";"occupied"
"Status2025328";"occupied"
"Status2025329";"departure"
"Status2025412";"departure"
"Status2025413";"arrival"
"Status2025727";"occupied"
"Status2025728";"occupied"
"Status2025729";"occupied"
"Status2025730";"occupied"
"Status2025731";"occupied"
"Status2025801";"occupied"
"Status2025802";"departure"
"Status2025726";"arrivalDeparture"
"Status2025720";"occupied"
"Status2025721";"occupied"
"Status2025722";"occupied"
"Status2025723";"occupied"
"Status2025724";"occupied"
"Status2025725";"occupied"
"Status2025523";"notToOccupy"
"Status2025524";"notToOccupy"
"Status2025525";"notToOccupy"
"Status2025526";"notToOccupy"
"Status2025527";"notToOccupy"
"Status2025528";"notToOccupy"
"Status2025529";"notToOccupy"
"Status2025530";"notToOccupy"
"Status2026726";"occupied"
"Status2026727";"occupied"
"Status2026728";"occupied"
"Status2026729";"occupied"
"Status2026730";"occupied"
"Status2026731";"occupied"
"Status2026725";"arrival"
"Status2026801";"occupied"
"Status2026802";"occupied"
"Status2026803";"occupied"
"Status2026804";"occupied"
"Status2026805";"occupied"
"Status2026806";"occupied"
"Status2026807";"occupied"
"Status2026808";"departure"
"Status2025712";"arrival"
"Status2025713";"occupied"
"Status2025714";"occupied"
"Status2025715";"occupied"
"Status2025716";"occupied"
"Status2025717";"occupied"
"Status2025718";"occupied"
"Status2025719";"arrivalDeparture"
"Status2026221";"arrivalDeparture"
"Status2026228";"arrivalDeparture"
"Status2026222";"occupied"
"Status2026223";"occupied"
"Status2026224";"occupied"
"Status2026225";"occupied"
"Status2026226";"occupied"
"Status2026227";"occupied"
"Status2026301";"occupied"
"Status2026302";"occupied"
"Status2026303";"occupied"
"Status2026305";"occupied"
"Status2026304";"occupied"
"Status2026306";"occupied"
"Status2026307";"departure"
"Status2026320";"occupied"
"Status2026321";"occupied"
"Status2027213";"notToOccupy"
"Status2027214";"notToOccupy"
"Status2027215";"notToOccupy"
"Status2027216";"notToOccupy"
"Status2027217";"notToOccupy"
"Status2027218";"notToOccupy"
"Status2027219";"notToOccupy"
"Status2027220";"notToOccupy"
"Status2026319";"arrival"
"Status2026322";"departure"
"Status20261226";"arrivalDeparture"
"Status20261227";"occupied"
"Status20261228";"occupied"
"Status20261229";"occupied"
"Status20261230";"occupied"
"Status20261231";"occupied"
"Status2027101";"occupied"
"Status2027102";"departure"
"Status2026711";"arrival"
"Status2026718";"departure"
"Status2026712";"occupied"
"Status2026713";"occupied"
"Status2026714";"occupied"
"Status2026715";"occupied"
"Status2026716";"occupied"
"Status2026717";"occupied"
"Status2026719";"notToOccupy"
"Status2026720";"notToOccupy"
"Status2026721";"notToOccupy"
"Status2026722";"notToOccupy"
"Status2026723";"notToOccupy"
"Status2026724";"notToOccupy"
"Status2026313";"notToOccupy"
"Status2026314";"notToOccupy"
"Status2026315";"notToOccupy"
